Sl no.,Duration (in seconds),AIToolName_1,AIToolName_2,AIToolName_3,AIToolName_4,AIToolName_5,S1_1,S1_2,S1_3,S1_4,S1_5,HM_1,HM_2,HM_3,HM_4,Asp_1,Asp_2,Asp_3,Asp_4,Asp_5,Who,How ,Why,When_1,When_2,When_3,When_4,When_5,PE_1,PE_2,PE_3,PE_4,PE_5,EE_1,EE_2,EE_3,EE_4,AC_1,PA_1,PA_2,PA_3,PA_4,PA_5,PA_6,PA_7,PA_8,PA_9,PA_10,NA_1,NA_2,NA_3,NA_4,NA_5,NA_6,NA_7,NA_8,NA_9,NA_10,AIUse_1,AIUse_2,AIUse_3,AIUse_4,AIUse_5,AIUse_6,AIUse_7,AIUse_8,AIUse_9,AIObj_1,AIObj_2,AIObj_3,AIObj_4,AIObj_5,AIObj_6,AIObj_7,AIObj_8,AC_2,AITask_1,AITask_2,AITask_3,AITask_4,AITask_5,AITask_7,AITask_8,AITask_6,Freq,AIL_1,AIL_2,AIL_3,AIL_4,AIL_5,AIL_6,AIL_7,AIL_8,AC_3,Gender,Age,WrkExp,AIExp,WhoHuman,WhoAgent,WhoBoth,WhoNotSure,HowContinuously,HowDiscretely,HowBoth,HowNotSure,HowNever,WhyPreEmptively,WhyCorrectively,WhyBoth,WhyNotSure,WhyNever,LevelOfAutonomy,PATotal,NATotal,PAScaled,NAScaled
1,562,Colleague Assistant Tool,,,,,1,6,1,7,3,2,3,4,5,,,1,,,3,3,1,,,1,,,5,5,5,5,6,6,6,3,7,1,60,30,50,45,70,70,60,20,59,60,2,3,3,2,2,2,2,20,2,2,3,2,6,6,2,6,5,5,3,5,5,7,4,7,7,7,7,7,1,,,1,,,,,1,3,6,2,6,6,2,6,6,1,1,24,10,3,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,524,40,3.67,0.28
2,360,GPT Chat,Quilbot,,,,2,5,4,4,4,4,4,4,4,1,,,1,,4,4,3,,,1,,,4,2,3,2,6,4,4,5,4,1,60,20,38,38,16,23,41,42,68,15,3,0,33,2,2,19,0,20,21,3,4,6,4,4,5,5,5,5,5,3,5,3,5,4,6,3,5,7,,,,,1,1,,,7,2,3,5,5,5,5,5,5,1,1,41,25,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,4,361,103,2.53,0.72
3,394,Chat GPT,,,,,2,4,2,4,4,6,6,6,6,,,1,1,,3,3,3,,,1,,,5,2,5,2,5,6,6,6,6,1,80,60,30,30,10,10,5,5,20,10,0,0,0,0,0,0,0,0,0,0,3,4,2,2,4,3,4,5,4,4,4,3,2,5,5,4,5,7,,,,1,,1,,,1,5,4,5,6,6,5,6,6,1,1,34,18,2,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,260,0,1.82,0
4,296,ChatGPT,,,,,4,4,5,3,3,5,5,5,6,1,1,1,1,,1,2,1,,,1,,,4,4,5,5,6,5,5,6,5,1,79,41,40,59,20,80,40,62,80,80,0,0,20,0,0,0,0,21,0,0,5,4,5,4,6,6,5,5,5,2,1,2,3,2,1,1,2,7,,,,,1,1,,,5,5,5,5,6,6,3,3,4,1,1,42,20,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,4,581,41,4.07,0.29
5,405,3d printer,,,,,1,1,1,1,1,5,5,4,4,1,1,,1,,1,2,3,1,,1,,,5,5,5,5,5,5,5,6,5,1,48,17,5,43,4,34,65,30,67,50,0,0,0,0,0,7,0,0,0,0,6,5,6,5,5,5,5,6,5,2,2,2,2,2,2,2,4,7,1,,,,,,,,3,4,4,4,5,5,4,3,4,1,1,52,34,3,1,0,0,0,0,1,0,0,0,0,0,1,0,0,2,363,7,2.54,0.05
6,736,Gemini,Co-Pilot,Chat GPT,Open AI,,4,4,1,4,5,4,5,5,4,,1,,,,1,2,3,,,1,1,,3,4,4,4,6,6,5,6,5,1,60,40,51,60,49,47,100,49,81,75,0,0,15,1,0,15,0,0,0,0,4,6,6,5,5,5,6,7,7,1,3,2,2,1,2,2,4,7,1,1,,1,1,1,1,,1,5,6,5,5,6,5,6,5,1,1,29,14,2,1,0,0,0,0,1,0,0,0,0,0,1,0,0,4,612,31,4.28,0.22
7,257,ChatGPT,,,,,4,6,2,4,6,6,6,7,7,1,1,1,1,,1,1,3,,,1,,,2,2,3,3,7,6,5,7,7,1,80,60,79,61,60,62,79,81,79,60,0,0,0,0,0,0,0,0,0,0,6,6,5,6,7,6,7,6,6,1,1,1,1,1,1,2,1,7,1,1,,1,,1,1,,3,5,5,6,5,6,5,5,5,1,1,27,9,2,1,0,0,0,1,0,0,0,0,0,0,1,0,0,2,701,0,4.91,0
8,713,ChatGPT,Grammarly,,,,1,1,4,4,7,5,6,4,6,1,1,1,1,,1,1,3,,,1,,,4,4,5,5,6,5,5,6,5,1,80,48,2,30,5,4,6,22,39,4,1,0,2,0,0,9,0,0,0,0,3,4,4,1,4,2,5,2,4,1,1,2,2,1,2,2,4,7,,,,,,1,1,,1,4,6,4,6,6,5,4,5,1,1,43,28,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,2,240,12,1.68,0.08
9,532,ChatGPT,Generative AI,Firefly,,,1,4,5,2,4,6,4,5,5,1,1,1,1,,1,2,2,1,1,1,,,5,5,4,5,5,6,5,6,6,1,63,28,17,38,4,12,50,38,30,13,5,3,97,4,7,8,52,58,3,6,3,4,2,2,2,3,5,5,2,2,6,2,6,5,6,1,4,7,,1,,,1,1,,,3,6,6,7,6,5,7,4,7,1,1,22,3,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,2,293,243,2.05,1.7
10,500,Post office chat,,,,,4,6,4,6,7,6,6,6,7,1,,1,,,2,3,2,,,1,,,6,5,5,6,7,6,6,6,6,1,81,72,78,82,81,83,70,71,84,77,6,8,15,13,13,7,6,8,12,7,6,5,6,3,5,5,6,5,6,1,2,1,2,2,2,1,1,7,,1,,1,,,1,,3,7,7,5,6,6,5,6,5,1,1,60,21,2,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,779,95,5.45,0.67
